bumen_id,t_id,num1,num2,num3,num4
1,1001,24.0,6.1,20.6,12.6
2,1001,23.1,22.2,23.1,22.6
3,1001,1.1,1.7,3.1,20.7
4,1001,3.0,8.7,22.4,15.3
5,1001,1.4,5.5,2.1,11.9
6,1001,10.0,5.8,17.9,13.5
7,1001,22.9,3.5,10.2,22.4
8,1001,14.5,3.9,21.6,7.0
9,1001,5.0,12.4,10.8,9.8
10,1001,12.8,4.9,10.3,12.0
11,1001,4.2,24.2,8.2,16.3
12,1001,21.8,4.6,11.7,1.9
1,1002,9.4,5.4,5.8,13.0
2,1002,22.0,18.0,10.0,2.8
3,1002,14.9,7.7,23.9,1.4
4,1002,13.2,18.5,17.8,5.3
5,1002,4.6,2.6,9.6,19.7
6,1002,12.4,12.9,12.2,14.2
7,1002,3.1,10.0,7.4,17.8
8,1002,14.1,22.2,3.6,15.9
9,1002,1.8,20.4,7.9,14.2
10,1002,4.2,17.6,19.6,11.9
11,1002,24.9,1.0,13.3,19.9
12,1002,4.9,22.1,4.1,20.9
1,1003,10.5,21.9,14.8,15.2
2,1003,5.7,14.0,22.5,22.2
3,1003,14.1,17.5,5.7,3.5
4,1003,20.7,23.4,8.4,19.1
5,1003,3.8,5.1,17.1,24.5
6,1003,14.8,2.5,7.0,20.8
7,1003,10.7,19.9,18.9,4.1
8,1003,7.6,6.6,12.9,3.0
9,1003,16.2,12.2,16.8,23.1
10,1003,6.2,21.9,21.6,18.8
11,1003,16.5,10.4,14.8,22.1
12,1003,12.2,18.1,6.6,18.3
1,1004,9.0,23.4,1.5,8.0
2,1004,24.7,9.6,5.8,20.5
3,1004,8.9,7.7,23.5,23.0
4,1004,24.9,8.6,17.0,5.9
5,1004,23.5,5.2,10.7,8.1
6,1004,7.4,5.9,16.3,19.1
7,1004,23.3,22.2,17.2,11.5
8,1004,2.2,9.7,8.9,3.7
9,1004,22.7,11.9,2.5,4.9
10,1004,3.6,1.4,3.6,2.3
11,1004,9.5,12.8,9.3,5.7
12,1004,4.6,23.8,21.6,1.2
1,1005,3.0,10.6,18.4,11.3
2,1005,1.1,5.2,16.8,22.7
3,1005,10.2,6.3,23.6,24.2
4,1005,19.6,4.5,19.9,17.5
5,1005,9.7,18.6,12.6,2.9
6,1005,6.0,22.8,22.8,7.3
7,1005,12.3,21.2,18.7,9.0
8,1005,14.7,1.1,4.3,6.8
9,1005,4.2,4.6,12.6,10.5
10,1005,24.9,4.2,3.1,22.8
11,1005,12.6,18.1,19.6,3.9
12,1005,19.3,8.6,20.9,7.5
1,1006,1.5,12.3,5.7,7.1
2,1007,17.4,17.4,19.7,9.2
3,1008,19.2,22.0,4.1,11.2
1,2001,20.1,4.4,5.5,17.8
2,2001,5.5,6.3,8.3,14.0
3,2001,15.5,4.5,19.8,7.2
4,2001,12.0,9.7,20.9,22.0
5,2001,11.7,6.1,5.5,19.4
6,2001,15.8,24.8,10.8,21.0
7,2001,18.6,4.2,8.4,13.0
8,2001,1.8,15.1,16.7,4.3
1,2002,9.4,12.4,3.8,14.3
2,2002,16.5,19.6,14.6,17.2
3,2002,2.8,24.2,6.6,5.3
4,2002,11.3,17.2,20.1,15.3
5,2002,17.7,15.1,4.0,23.1
6,2002,15.6,13.6,8.0,3.0
7,2002,10.4,13.4,16.6,10.4
8,2002,14.3,9.6,20.9,18.0
1,2003,22.3,20.6,17.8,24.0
2,2003,14.6,20.3,5.6,6.1
3,2003,24.0,7.6,14.7,18.0
4,2003,24.7,18.1,6.4,2.5
5,2003,11.5,7.3,19.5,22.6
6,2003,13.5,14.3,17.9,18.1
7,2003,10.1,20.4,9.0,8.8
8,2003,24.9,22.0,7.7,2.0
6,2004,18.7,22.1,12.8,6.9
7,2005,15.4,7.1,6.7,18.9
1,3001,18.3,15.5,1.2,11.7
2,3001,16.2,14.5,10.1,6.0
3,3001,13.4,21.1,22.0,12.9
4,3001,16.5,4.8,2.8,2.9
5,3001,7.6,13.4,21.7,1.1
6,3001,5.9,1.3,15.1,15.8
7,3001,9.5,16.1,16.0,2.6
8,3001,20.6,12.4,24.3,23.1
9,3001,9.5,4.8,20.0,16.4
1,3002,11.9,6.5,14.5,19.7
2,3002,17.3,4.8,15.3,5.8
3,3002,12.6,13.8,21.5,9.9
4,3002,7.3,20.2,6.3,3.2
5,3002,14.3,14.0,16.7,5.0
6,3002,18.5,2.2,17.1,4.5
7,3002,5.0,3.6,5.9,21.0
8,3002,19.1,3.2,15.8,24.7
10,3002,8.7,17.7,5.9,13.7
1,3003,24.3,24.1,9.4,4.1
2,3003,22.6,16.6,4.0,19.8
3,3003,8.4,1.9,16.0,8.6
4,3003,9.4,3.7,2.7,9.2
5,3003,23.7,14.0,21.6,10.9
6,3003,11.5,5.4,21.6,20.3
7,3003,3.2,12.2,11.4,10.0
