t_idfrom,t_idto,t_num1,t_num2,t_num3,t_num4,t_num5
1001,1001,9,7,9,5,5
1001,1002,8,9,9,9,8
1001,1003,8,8,8,9,8
1001,1004,8,7,7,9,8
1001,1005,9,9,7,9,8
1001,1006,9,8,9,8,9
1001,1007,8,9,7,8,9
1001,1008,9,8,7,8,9
1001,2001,9,9,7,9,8
1001,2002,7,7,9,9,8
1001,2003,9,8,7,8,8
1001,2004,9,5,9,8,8
1001,2005,7,5,9,9,7
1001,3001,8,7,9,5,8
1001,3002,9,7,9,5,8
1001,3003,8,9,9,8,7
1001,3004,9,7,9,8,9
1001,3005,8,9,9,8,9
1001,3006,9,8,7,8,7
1001,3007,8,9,9,8,9
1001,3008,8,9,8,9,9
1002,1001,7,9,9,8,9
1002,1002,9,9,9,7,8
1002,1003,9,8,7,9,8
1002,1004,9,5,7,7,9
1002,1005,8,8,7,9,9
1002,1006,9,7,8,8,8
1002,1007,7,9,8,9,9
1002,1008,7,5,8,8,9
1002,2001,9,8,7,8,9
1002,2002,9,9,9,9,8
1002,2003,5,9,9,9,9
1002,2004,9,9,9,7,9
1002,2005,7,9,9,5,9
1002,3001,8,9,7,8,8
1002,3002,7,9,9,8,9
1002,3003,9,8,9,8,9
1002,3004,9,9,9,8,7
1002,3005,9,9,8,8,8
1002,3006,9,9,9,9,7
1002,3007,8,9,7,8,9
1002,3008,9,8,8,9,8
1003,1001,8,7,7,9,9
1003,1002,9,9,8,9,8
1003,1003,8,9,8,9,8
1003,1004,9,8,9,9,8
1003,1005,7,9,9,7,8
1003,1006,5,7,8,8,9
1003,1007,8,9,9,8,8
1003,1008,8,9,7,9,8
1003,2001,5,9,9,9,7
1003,2002,9,7,8,9,5
1003,2003,8,9,7,7,9
1003,2004,9,8,8,5,9
1003,2005,9,9,7,9,8
1003,3001,9,8,8,5,9
1003,3002,8,8,9,9,8
1003,3003,9,7,8,9,9
1003,3004,9,7,7,8,9
1003,3005,7,7,9,9,7
1003,3006,7,8,9,9,9
1003,3007,8,9,8,8,9
1003,3008,8,5,9,7,8
1004,1001,8,9,8,9,9
1004,1002,8,9,7,9,9
1004,1003,8,8,8,7,9
1004,1004,7,9,7,7,9
1004,1005,9,9,8,8,9
1004,1006,9,8,8,9,7
1004,1007,7,8,7,8,8
1004,1008,9,9,7,7,8
1004,2001,9,9,9,9,7
1004,2002,7,8,8,9,7
1004,2003,9,9,9,7,9
1004,2004,7,8,8,9,8
1004,2005,9,8,9,8,8
1004,3001,8,8,9,8,9
1004,3002,9,9,8,9,8
1004,3003,5,8,8,9,8
1004,3004,9,9,9,9,8
1004,3005,9,9,9,9,9
1004,3006,8,9,9,9,9
1004,3007,7,9,8,8,7
1004,3008,9,8,7,9,9
1005,1001,9,8,7,9,9
1005,1002,8,8,8,7,8
1005,1003,5,9,8,9,8
1005,1004,9,8,8,8,8
1005,1005,9,9,9,9,8
1005,1006,8,7,9,8,8
1005,1007,9,9,8,8,9
1005,1008,9,9,9,7,9
1005,2001,7,9,8,9,7
1005,2002,9,8,9,9,8
1005,2003,7,9,8,8,7
1005,2004,5,9,9,7,7
1005,2005,9,9,7,8,9
1005,3001,9,7,8,9,9
1005,3002,9,7,8,9,9
1005,3003,8,9,8,9,9
1005,3004,9,8,5,9,8
1005,3005,8,9,8,8,7
1005,3006,7,9,7,8,7
1005,3007,9,8,8,9,5
1005,3008,9,8,9,9,8
1006,1001,9,9,9,8,8
1006,1006,9,9,9,9,9
1007,1002,9,9,8,8,9
1007,1007,9,9,8,9,8
1008,1003,9,8,9,9,7
1008,1008,9,9,8,9,7
2001,1001,8,9,8,5,5
2001,1002,9,9,9,8,9
2001,1003,9,7,9,9,8
2001,1004,9,9,9,8,7
2001,1005,8,9,7,7,8
2001,1006,9,7,8,7,7
2001,1007,8,9,9,9,5
2001,1008,9,9,9,8,8
2001,2001,8,9,7,7,9
2001,2002,9,5,7,8,9
2001,2003,8,8,9,9,8
2001,2004,9,9,9,9,7
2001,2005,7,9,9,9,9
2002,1001,5,9,8,9,9
2002,1002,9,8,9,9,9
2002,1003,9,7,9,9,9
2002,1004,9,9,8,7,8
2002,1005,9,5,7,7,9
2002,1006,9,8,8,9,9
2002,1007,7,8,9,8,9
2002,1008,9,8,9,8,7
2002,2001,9,8,7,9,8
2002,2002,9,8,9,9,9
2002,2003,9,8,9,8,9
2002,2004,9,9,8,9,8
2002,2005,9,8,9,7,8
2003,1001,8,9,9,5,8
2003,1002,9,5,7,8,9
2003,1003,8,8,9,9,9
2003,1004,9,9,8,9,8
2003,1005,9,8,9,7,8
2003,1006,8,9,8,9,8
2003,1007,8,8,8,9,8
2003,1008,8,9,9,9,9
2003,2001,9,8,9,8,9
2003,2002,8,8,9,9,7
2003,2003,9,7,8,9,9
2003,2004,7,9,8,5,7
2003,2005,9,7,9,9,9
2004,2001,9,9,7,7,9
2004,2004,8,9,9,8,9
2005,2002,8,9,9,9,7
2005,2005,9,9,8,9,7
3001,1001,9,9,9,9,8
3001,1002,9,9,8,8,8
3001,1003,5,7,9,8,8
3001,1004,7,8,8,8,8
3001,1005,8,9,8,9,8
3001,1006,5,8,9,9,8
3001,1007,7,9,5,8,8
3001,1008,9,8,9,9,8
3001,2001,5,9,5,9,9
3001,2002,9,9,9,9,8
3001,2003,9,5,7,9,8
3001,2004,8,9,8,9,8
3001,2005,8,8,9,7,8
3001,3001,8,9,9,7,8
3001,3005,8,9,9,7,5
3002,1001,9,9,9,8,9
3002,1002,9,9,8,7,9
3002,1003,8,8,8,9,9
3002,1004,5,9,9,9,9
3002,1005,8,9,7,9,7
3002,1006,7,8,9,9,9
3002,1007,9,9,9,8,8
3002,1008,8,5,9,8,8
3002,2001,9,9,9,9,5
3002,2002,9,9,8,9,7
3002,2003,9,8,9,7,9
3002,2004,9,5,8,9,8
3002,2005,8,9,8,8,8
3002,3002,7,8,8,9,7
3002,3006,9,8,8,9,8
3003,1001,9,7,9,9,8
3003,1002,9,7,8,8,9
3003,1003,9,9,5,5,8
3003,1004,9,8,9,9,7
3003,1005,9,9,8,9,9
3003,1006,7,7,9,9,8
3003,1007,9,9,9,9,8
3003,1008,9,8,7,9,9
3003,2001,7,9,7,9,7
3003,2002,9,9,9,7,7
3003,2003,8,7,9,7,9
3003,2004,9,7,9,9,8
3003,2005,9,9,5,8,8
3003,3003,9,9,8,8,8
3003,3007,9,9,8,8,8
3004,1001,8,5,7,9,9
3004,1002,9,9,5,9,5
3004,1003,8,9,9,9,8
3004,1004,8,7,9,9,8
3004,1005,9,8,8,8,9
3004,1006,9,9,9,8,9
3004,1007,9,8,8,9,7
3004,1008,9,7,9,8,8
3004,2001,9,9,8,9,9
3004,2002,9,7,7,9,7
